 HEAD
﻿Notes,Occurrence County,Occurrence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Fairfield County, CT",9001,"2018 Week 50 ending December 15, 2018",2018/50,125,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2018 Week 51 ending December 22, 2018",2018/51,134,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2018 Week 52 ending December 29, 2018",2018/52,119,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 01 ending January 05, 2019",2019/01,134,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 02 ending January 12, 2019",2019/02,133,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 03 ending January 19, 2019",2019/03,106,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 04 ending January 26, 2019",2019/04,129,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 05 ending February 02, 2019",2019/05,132,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 06 ending February 09, 2019",2019/06,144,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 07 ending February 16, 2019",2019/07,138,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 08 ending February 23, 2019",2019/08,145,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 09 ending March 02, 2019",2019/09,100,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 10 ending March 09, 2019",2019/10,125,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 11 ending March 16, 2019",2019/11,152,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 12 ending March 23, 2019",2019/12,138,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 13 ending March 30, 2019",2019/13,131,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 14 ending April 06, 2019",2019/14,128,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 15 ending April 13, 2019",2019/15,122,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 16 ending April 20, 2019",2019/16,139,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 17 ending April 27, 2019",2019/17,97,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 18 ending May 04, 2019",2019/18,137,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 19 ending May 11, 2019",2019/19,112,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 20 ending May 18, 2019",2019/20,109,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 21 ending May 25, 2019",2019/21,133,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 22 ending June 01, 2019",2019/22,106,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 23 ending June 08, 2019",2019/23,137,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 24 ending June 15, 2019",2019/24,87,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 25 ending June 22, 2019",2019/25,112,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 26 ending June 29, 2019",2019/26,105,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 27 ending July 06, 2019",2019/27,121,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 28 ending July 13, 2019",2019/28,117,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 29 ending July 20, 2019",2019/29,107,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 30 ending July 27, 2019",2019/30,122,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 31 ending August 03, 2019",2019/31,109,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 32 ending August 10, 2019",2019/32,118,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 33 ending August 17, 2019",2019/33,116,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 34 ending August 24, 2019",2019/34,112,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 35 ending August 31, 2019",2019/35,133,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 36 ending September 07, 2019",2019/36,108,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 37 ending September 14, 2019",2019/37,107,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 38 ending September 21, 2019",2019/38,124,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 39 ending September 28, 2019",2019/39,126,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 40 ending October 05, 2019",2019/40,134,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 41 ending October 12, 2019",2019/41,115,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 42 ending October 19, 2019",2019/42,131,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 43 ending October 26, 2019",2019/43,119,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 44 ending November 02, 2019",2019/44,123,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 45 ending November 09, 2019",2019/45,118,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 46 ending November 16, 2019",2019/46,123,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 47 ending November 23, 2019",2019/47,122,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 48 ending November 30, 2019",2019/48,116,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 49 ending December 07, 2019",2019/49,157,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 50 ending December 14, 2019",2019/50,133,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 51 ending December 21, 2019",2019/51,122,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2019 Week 52 ending December 28, 2019",2019/52,126,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 01 ending January 04, 2020",2020/01,124,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 02 ending January 11, 2020",2020/02,150,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 03 ending January 18, 2020",2020/03,135,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 04 ending January 25, 2020",2020/04,152,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2020 Week 05 ending February 01, 2020",2020/05,143,Not Applicable,Not Applicable
