Notes,Residence County,Residence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Adams County, IL",17001,"2021 Week 01 ending January 09, 2021 (provisional)",2021/01,37,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 02 ending January 16, 2021 (provisional)",2021/02,29,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 03 ending January 23, 2021 (provisional)",2021/03,22,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 04 ending January 30, 2021 (provisional)",2021/04,22,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 05 ending February 06, 2021 (provisional)",2021/05,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 06 ending February 13, 2021 (provisional)",2021/06,14,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 07 ending February 20, 2021 (provisional)",2021/07,14,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 08 ending February 27, 2021 (provisional)",2021/08,13,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 09 ending March 06, 2021 (provisional)",2021/09,13,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 10 ending March 13, 2021 (provisional)",2021/10,11,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 11 ending March 20, 2021 (provisional)",2021/11,20,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 12 ending March 27, 2021 (provisional)",2021/12,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 13 ending April 03, 2021 (provisional)",2021/13,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 14 ending April 10, 2021 (provisional)",2021/14,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 15 ending April 17, 2021 (provisional)",2021/15,12,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 16 ending April 24, 2021 (provisional)",2021/16,19,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 17 ending May 01, 2021 (provisional)",2021/17,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 18 ending May 08, 2021 (provisional)",2021/18,20,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 19 ending May 15, 2021 (provisional)",2021/19,13,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 20 ending May 22, 2021 (provisional)",2021/20,15,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 21 ending May 29, 2021 (provisional)",2021/21,12,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 22 ending June 05, 2021 (provisional)",2021/22,12,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 23 ending June 12, 2021 (provisional)",2021/23,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 24 ending June 19, 2021 (provisional)",2021/24,13,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 25 ending June 26, 2021 (provisional)",2021/25,20,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 26 ending July 03, 2021 (provisional)",2021/26,14,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 27 ending July 10, 2021 (provisional)",2021/27,11,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 28 ending July 17, 2021 (provisional)",2021/28,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 29 ending July 24, 2021 (provisional)",2021/29,11,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 30 ending July 31, 2021 (provisional)",2021/30,14,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 31 ending August 07, 2021 (provisional)",2021/31,11,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 32 ending August 14, 2021 (provisional)",2021/32,19,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 33 ending August 21, 2021 (provisional)",2021/33,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 34 ending August 28, 2021 (provisional)",2021/34,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 35 ending September 04, 2021 (provisional)",2021/35,22,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 36 ending September 11, 2021 (provisional)",2021/36,21,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 37 ending September 18, 2021 (provisional)",2021/37,15,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 38 ending September 25, 2021 (provisional)",2021/38,15,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 39 ending October 02, 2021 (provisional)",2021/39,20,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 40 ending October 09, 2021 (provisional)",2021/40,15,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 41 ending October 16, 2021 (provisional)",2021/41,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 42 ending October 23, 2021 (provisional)",2021/42,22,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 43 ending October 30, 2021 (provisional)",2021/43,25,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 44 ending November 06, 2021 (provisional)",2021/44,19,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 45 ending November 13, 2021 (provisional)",2021/45,19,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 46 ending November 20, 2021 (provisional)",2021/46,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 47 ending November 27, 2021 (provisional)",2021/47,21,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 48 ending December 04, 2021 (provisional)",2021/48,23,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 49 ending December 11, 2021 (provisional)",2021/49,21,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 50 ending December 18, 2021 (provisional)",2021/50,24,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 51 ending December 25, 2021 (provisional)",2021/51,25,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2021 Week 52 ending January 01, 2022 (provisional)",2021/52,27,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 01 ending January 09, 2021 (provisional)",2021/01,15,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 03 ending January 23, 2021 (provisional)",2021/03,13,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 04 ending January 30, 2021 (provisional)",2021/04,10,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 05 ending February 06, 2021 (provisional)",2021/05,11,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 06 ending February 13, 2021 (provisional)",2021/06,11,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 07 ending February 20, 2021 (provisional)",2021/07,13,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 08 ending February 27, 2021 (provisional)",2021/08,13,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 11 ending March 20, 2021 (provisional)",2021/11,14,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 13 ending April 03, 2021 (provisional)",2021/13,11,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 15 ending April 17, 2021 (provisional)",2021/15,12,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 16 ending April 24, 2021 (provisional)",2021/16,10,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 19 ending May 15, 2021 (provisional)",2021/19,11,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 22 ending June 05, 2021 (provisional)",2021/22,10,Not Applicable,Not Applicable
,"Boone County, IL",17007,"2021 Week 24 ending June 19, 2021 (provisional)",2021/24,11,Not Applicable,Not Applicable
