Notes,Residence County,Residence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Adams County, CO",8001,"2019 Week 01 ending January 05, 2019",2019/01,47,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 02 ending January 12, 2019",2019/02,63,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 03 ending January 19, 2019",2019/03,51,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 04 ending January 26, 2019",2019/04,53,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 05 ending February 02, 2019",2019/05,63,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 06 ending February 09, 2019",2019/06,56,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 07 ending February 16, 2019",2019/07,54,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 08 ending February 23, 2019",2019/08,67,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 09 ending March 02, 2019",2019/09,70,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 10 ending March 09, 2019",2019/10,64,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 11 ending March 16, 2019",2019/11,54,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 12 ending March 23, 2019",2019/12,68,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 13 ending March 30, 2019",2019/13,67,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 14 ending April 06, 2019",2019/14,65,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 15 ending April 13, 2019",2019/15,72,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 16 ending April 20, 2019",2019/16,62,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 17 ending April 27, 2019",2019/17,61,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 18 ending May 04, 2019",2019/18,65,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 19 ending May 11, 2019",2019/19,54,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 20 ending May 18, 2019",2019/20,57,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 21 ending May 25, 2019",2019/21,59,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 22 ending June 01, 2019",2019/22,62,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 23 ending June 08, 2019",2019/23,55,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 24 ending June 15, 2019",2019/24,51,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 25 ending June 22, 2019",2019/25,50,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 26 ending June 29, 2019",2019/26,44,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 27 ending July 06, 2019",2019/27,63,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 28 ending July 13, 2019",2019/28,49,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 29 ending July 20, 2019",2019/29,64,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 30 ending July 27, 2019",2019/30,67,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 31 ending August 03, 2019",2019/31,58,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 32 ending August 10, 2019",2019/32,43,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 33 ending August 17, 2019",2019/33,61,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 34 ending August 24, 2019",2019/34,60,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 35 ending August 31, 2019",2019/35,43,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 36 ending September 07, 2019",2019/36,47,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 37 ending September 14, 2019",2019/37,58,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 38 ending September 21, 2019",2019/38,44,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 39 ending September 28, 2019",2019/39,52,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 40 ending October 05, 2019",2019/40,52,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 41 ending October 12, 2019",2019/41,54,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 42 ending October 19, 2019",2019/42,55,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 43 ending October 26, 2019",2019/43,66,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 44 ending November 02, 2019",2019/44,59,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 45 ending November 09, 2019",2019/45,67,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 46 ending November 16, 2019",2019/46,60,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 47 ending November 23, 2019",2019/47,60,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 48 ending November 30, 2019",2019/48,57,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 49 ending December 07, 2019",2019/49,67,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 50 ending December 14, 2019",2019/50,57,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 51 ending December 21, 2019",2019/51,75,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2019 Week 52 ending December 28, 2019",2019/52,72,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 01 ending January 04, 2020",2020/01,55,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 02 ending January 11, 2020",2020/02,53,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 03 ending January 18, 2020",2020/03,52,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 04 ending January 25, 2020",2020/04,67,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 05 ending February 01, 2020",2020/05,68,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 06 ending February 08, 2020",2020/06,51,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 07 ending February 15, 2020",2020/07,44,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 08 ending February 22, 2020",2020/08,73,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 09 ending February 29, 2020",2020/09,56,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 10 ending March 07, 2020",2020/10,68,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 11 ending March 14, 2020",2020/11,67,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 12 ending March 21, 2020",2020/12,57,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 13 ending March 28, 2020",2020/13,55,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 14 ending April 04, 2020",2020/14,67,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 15 ending April 11, 2020",2020/15,87,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 16 ending April 18, 2020",2020/16,78,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 17 ending April 25, 2020",2020/17,85,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 18 ending May 02, 2020",2020/18,76,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 19 ending May 09, 2020",2020/19,69,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 20 ending May 16, 2020",2020/20,74,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 21 ending May 23, 2020",2020/21,79,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 22 ending May 30, 2020",2020/22,66,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 23 ending June 06, 2020",2020/23,46,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 24 ending June 13, 2020",2020/24,62,Not Applicable,Not Applicable
,"Adams County, CO",8001,"2020 Week 25 ending June 20, 2020",2020/25,66,Not Applicable,Not Applicable
