Notes,Residence County,Residence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Adams County, IL",17001,"2020 Week 02 ending January 11, 2020",2020/02,25,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 03 ending January 18, 2020",2020/03,27,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 04 ending January 25, 2020",2020/04,10,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 05 ending February 01, 2020",2020/05,11,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 06 ending February 08, 2020",2020/06,13,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 07 ending February 15, 2020",2020/07,11,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 08 ending February 22, 2020",2020/08,14,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 09 ending February 29, 2020",2020/09,15,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 10 ending March 07, 2020",2020/10,22,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 11 ending March 14, 2020",2020/11,20,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 12 ending March 21, 2020",2020/12,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 13 ending March 28, 2020",2020/13,22,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 14 ending April 04, 2020",2020/14,19,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 15 ending April 11, 2020",2020/15,15,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 16 ending April 18, 2020",2020/16,17,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 17 ending April 25, 2020",2020/17,19,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 19 ending May 09, 2020",2020/19,12,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 20 ending May 16, 2020",2020/20,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 22 ending May 30, 2020",2020/22,13,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 23 ending June 06, 2020",2020/23,11,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 24 ending June 13, 2020",2020/24,19,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 25 ending June 20, 2020",2020/25,14,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 26 ending June 27, 2020",2020/26,14,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 27 ending July 04, 2020",2020/27,15,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 28 ending July 11, 2020",2020/28,17,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 29 ending July 18, 2020",2020/29,14,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 30 ending July 25, 2020",2020/30,12,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 31 ending August 01, 2020",2020/31,23,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 32 ending August 08, 2020",2020/32,24,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 33 ending August 15, 2020",2020/33,13,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 34 ending August 22, 2020",2020/34,10,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 35 ending August 29, 2020",2020/35,13,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 37 ending September 12, 2020",2020/37,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 38 ending September 19, 2020",2020/38,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 39 ending September 26, 2020",2020/39,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 40 ending October 03, 2020",2020/40,11,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 41 ending October 10, 2020",2020/41,21,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2020 Week 42 ending October 17, 2020",2020/42,19,Not Applicable,Not Applicable
