Notes,Residence County,Residence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Adams County, IL",17001,"2019 Week 01 ending January 05, 2019",2019/01,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 02 ending January 12, 2019",2019/02,14,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 03 ending January 19, 2019",2019/03,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 04 ending January 26, 2019",2019/04,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 05 ending February 02, 2019",2019/05,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 07 ending February 16, 2019",2019/07,13,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 08 ending February 23, 2019",2019/08,15,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 09 ending March 02, 2019",2019/09,17,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 10 ending March 09, 2019",2019/10,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 11 ending March 16, 2019",2019/11,16,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 12 ending March 23, 2019",2019/12,19,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 13 ending March 30, 2019",2019/13,15,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 14 ending April 06, 2019",2019/14,15,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 15 ending April 13, 2019",2019/15,14,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 17 ending April 27, 2019",2019/17,13,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 18 ending May 04, 2019",2019/18,18,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 19 ending May 11, 2019",2019/19,10,Not Applicable,Not Applicable
,"Adams County, IL",17001,"2019 Week 20 ending May 18, 2019",2019/20,22,Not Applicable,Not Applicable
